id,source,status,initial_wrong,verified_success,note
0,mmlu_high_school_mathematics,Success,2,2,
1,mmlu_high_school_mathematics,Failed (Verification),1,0,All candidates failed
2,mmlu_high_school_mathematics,Success,3,1,
3,mmlu_high_school_mathematics,Failed (Verification),3,0,All candidates failed
4,mmlu_high_school_mathematics,Success,1,1,
5,mmlu_high_school_mathematics,Success,2,1,
6,mmlu_high_school_mathematics,Success,5,3,
7,mmlu_high_school_mathematics,Success,2,2,
8,mmlu_high_school_mathematics,Failed (Verification),5,0,All candidates failed
9,mmlu_high_school_mathematics,Failed (Verification),4,0,All candidates failed
10,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
11,mmlu_high_school_mathematics,Success,1,1,
12,mmlu_high_school_mathematics,Success,3,1,
13,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
14,mmlu_high_school_mathematics,Failed (Verification),1,0,All candidates failed
15,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
16,mmlu_high_school_mathematics,Failed (Verification),1,0,All candidates failed
17,mmlu_high_school_mathematics,Success,5,1,
