id,source,status,initial_wrong,verified_success,note
0,mmlu_high_school_mathematics,Success,1,1,
1,mmlu_high_school_mathematics,Failed (Verification),1,0,All candidates failed
2,mmlu_high_school_mathematics,Success,4,3,
3,mmlu_high_school_mathematics,Failed (Verification),4,0,All candidates failed
4,mmlu_high_school_mathematics,Success,3,3,
5,mmlu_high_school_mathematics,Failed (Verification),3,0,All candidates failed
6,mmlu_high_school_mathematics,Success,2,1,
7,mmlu_high_school_mathematics,Success,5,2,
8,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
9,mmlu_high_school_mathematics,Failed (Verification),5,0,All candidates failed
10,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
11,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
12,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
13,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
14,mmlu_high_school_mathematics,Success,2,2,
15,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
16,mmlu_high_school_mathematics,Success,1,1,
17,mmlu_high_school_mathematics,Success,3,1,
18,mmlu_high_school_mathematics,Success,1,1,
19,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
20,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
21,mmlu_high_school_mathematics,Success,1,1,
22,mmlu_high_school_mathematics,Failed (Verification),1,0,All candidates failed
23,mmlu_high_school_mathematics,Success,1,1,
24,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
25,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
26,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
27,mmlu_high_school_mathematics,Success,1,1,
28,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
29,mmlu_high_school_mathematics,Failed (Verification),5,0,All candidates failed
30,mmlu_high_school_mathematics,Failed (Verification),1,0,All candidates failed
31,mmlu_high_school_mathematics,Success,1,1,
32,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
33,mmlu_high_school_mathematics,Failed (Verification),5,0,All candidates failed
34,mmlu_high_school_mathematics,Success,4,4,
35,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
36,mmlu_high_school_mathematics,Failed (Verification),3,0,All candidates failed
37,mmlu_high_school_mathematics,Success,1,1,
38,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
39,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
40,mmlu_high_school_mathematics,Failed (Verification),1,0,All candidates failed
41,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
42,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
43,mmlu_high_school_mathematics,Failed (Verification),4,0,All candidates failed
44,mmlu_high_school_mathematics,Success,2,1,
45,mmlu_high_school_mathematics,Success,4,1,
46,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
47,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
48,mmlu_high_school_mathematics,Failed (Verification),1,0,All candidates failed
49,mmlu_high_school_mathematics,Success,3,1,
50,mmlu_high_school_mathematics,Success,5,3,
51,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
52,mmlu_high_school_mathematics,Success,1,1,
53,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
54,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
55,mmlu_high_school_mathematics,Success,1,1,
56,mmlu_high_school_mathematics,Success,3,2,
57,mmlu_high_school_mathematics,Failed (Verification),5,0,All candidates failed
58,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
59,mmlu_high_school_mathematics,Failed (Verification),5,0,All candidates failed
60,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
61,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
62,mmlu_high_school_mathematics,Success,2,2,
63,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
64,mmlu_high_school_mathematics,Success,5,4,
65,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
66,mmlu_high_school_mathematics,Success,2,1,
67,mmlu_high_school_mathematics,Failed (Verification),4,0,All candidates failed
68,mmlu_high_school_mathematics,Failed (Verification),1,0,All candidates failed
69,mmlu_high_school_mathematics,Failed (Verification),1,0,All candidates failed
70,mmlu_high_school_mathematics,Success,3,2,
71,mmlu_high_school_mathematics,Failed (Verification),1,0,All candidates failed
72,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
73,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
74,mmlu_high_school_mathematics,Success,3,2,
75,mmlu_high_school_mathematics,Skipped (All Correct),0,0,
