id,source,status,initial_wrong,verified_success,note
0,mmlu_abstract_algebra,Failed (Verification),2,0,All candidates failed
1,mmlu_abstract_algebra,Success,3,2,
2,mmlu_abstract_algebra,Skipped (All Correct),0,0,
3,mmlu_abstract_algebra,Success,5,3,
4,mmlu_abstract_algebra,Skipped (All Correct),0,0,
5,mmlu_abstract_algebra,Success,4,4,
6,mmlu_abstract_algebra,Success,4,3,
7,mmlu_abstract_algebra,Success,5,1,
8,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
9,mmlu_abstract_algebra,Skipped (All Correct),0,0,
10,mmlu_abstract_algebra,Failed (Verification),4,0,All candidates failed
11,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
12,mmlu_abstract_algebra,Skipped (All Correct),0,0,
13,mmlu_abstract_algebra,Success,3,2,
14,mmlu_abstract_algebra,Failed (Verification),4,0,All candidates failed
15,mmlu_abstract_algebra,Failed (Verification),2,0,All candidates failed
16,mmlu_abstract_algebra,Skipped (All Correct),0,0,
17,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
18,mmlu_abstract_algebra,Success,1,1,
19,mmlu_abstract_algebra,Skipped (All Correct),0,0,
20,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
21,mmlu_abstract_algebra,Skipped (All Correct),0,0,
22,mmlu_abstract_algebra,Success,5,1,
23,mmlu_abstract_algebra,Success,3,1,
24,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
25,mmlu_abstract_algebra,Success,1,1,
26,mmlu_abstract_algebra,Skipped (All Correct),0,0,
27,mmlu_abstract_algebra,Success,2,1,
28,mmlu_abstract_algebra,Success,1,1,
29,mmlu_abstract_algebra,Skipped (All Correct),0,0,
30,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
31,mmlu_abstract_algebra,Success,2,1,
32,mmlu_abstract_algebra,Skipped (All Correct),0,0,
33,mmlu_abstract_algebra,Skipped (All Correct),0,0,
34,mmlu_abstract_algebra,Skipped (All Correct),0,0,
35,mmlu_abstract_algebra,Failed (Verification),3,0,All candidates failed
36,mmlu_abstract_algebra,Success,1,1,
37,mmlu_abstract_algebra,Success,4,1,
38,mmlu_abstract_algebra,Success,2,1,
39,mmlu_abstract_algebra,Skipped (All Correct),0,0,
40,mmlu_abstract_algebra,Success,4,1,
41,mmlu_abstract_algebra,Failed (Verification),4,0,All candidates failed
42,mmlu_abstract_algebra,Failed (Verification),4,0,All candidates failed
43,mmlu_abstract_algebra,Failed (Verification),2,0,All candidates failed
44,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
45,mmlu_abstract_algebra,Skipped (All Correct),0,0,
46,mmlu_abstract_algebra,Success,5,2,
47,mmlu_abstract_algebra,Skipped (All Correct),0,0,
48,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
49,mmlu_abstract_algebra,Failed (Verification),4,0,All candidates failed
50,mmlu_abstract_algebra,Skipped (All Correct),0,0,
51,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
52,mmlu_abstract_algebra,Success,3,2,
53,mmlu_abstract_algebra,Success,2,1,
54,mmlu_abstract_algebra,Success,2,2,
55,mmlu_abstract_algebra,Success,1,1,
56,mmlu_abstract_algebra,Success,2,1,
57,mmlu_abstract_algebra,Failed (Verification),3,0,All candidates failed
58,mmlu_abstract_algebra,Success,1,1,
59,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
60,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
61,mmlu_abstract_algebra,Success,2,1,
62,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
63,mmlu_abstract_algebra,Success,3,1,
64,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
65,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
66,mmlu_abstract_algebra,Failed (Verification),4,0,All candidates failed
67,mmlu_abstract_algebra,Success,5,1,
68,mmlu_abstract_algebra,Success,4,1,
69,mmlu_abstract_algebra,Success,4,1,
70,mmlu_abstract_algebra,Success,5,2,
71,mmlu_abstract_algebra,Success,3,2,
72,mmlu_abstract_algebra,Success,2,1,
73,mmlu_abstract_algebra,Skipped (All Correct),0,0,
74,mmlu_abstract_algebra,Skipped (All Correct),0,0,
75,mmlu_abstract_algebra,Skipped (All Correct),0,0,
76,mmlu_abstract_algebra,Failed (Verification),2,0,All candidates failed
77,mmlu_abstract_algebra,Skipped (All Correct),0,0,
78,mmlu_abstract_algebra,Success,1,1,
79,mmlu_abstract_algebra,Success,1,1,
80,mmlu_abstract_algebra,Success,3,2,
81,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
82,mmlu_abstract_algebra,Skipped (All Correct),0,0,
83,mmlu_abstract_algebra,Success,1,1,
84,mmlu_abstract_algebra,Success,3,1,
85,mmlu_abstract_algebra,Success,2,1,
86,mmlu_abstract_algebra,Skipped (All Correct),0,0,
87,mmlu_abstract_algebra,Success,2,1,
88,mmlu_abstract_algebra,Skipped (All Correct),0,0,
89,mmlu_abstract_algebra,Success,1,1,
90,mmlu_abstract_algebra,Success,3,2,
91,mmlu_abstract_algebra,Skipped (All Correct),0,0,
92,mmlu_abstract_algebra,Skipped (All Correct),0,0,
93,mmlu_abstract_algebra,Failed (Verification),3,0,All candidates failed
94,mmlu_abstract_algebra,Success,4,1,
95,mmlu_abstract_algebra,Failed (Verification),5,0,All candidates failed
96,mmlu_abstract_algebra,Skipped (All Correct),0,0,
97,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
98,mmlu_abstract_algebra,Failed (Verification),1,0,All candidates failed
99,mmlu_abstract_algebra,Success,4,2,
100,mmlu_anatomy,Success,1,1,
101,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
102,mmlu_anatomy,Failed (Verification),2,0,All candidates failed
103,mmlu_anatomy,Success,5,2,
104,mmlu_anatomy,Failed (Verification),1,0,All candidates failed
105,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
106,mmlu_anatomy,Failed (Verification),4,0,All candidates failed
107,mmlu_anatomy,Failed (Verification),4,0,All candidates failed
108,mmlu_anatomy,Failed (Verification),4,0,All candidates failed
109,mmlu_anatomy,Success,4,3,
110,mmlu_anatomy,Failed (Verification),2,0,All candidates failed
111,mmlu_anatomy,Failed (Verification),4,0,All candidates failed
112,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
113,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
114,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
115,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
116,mmlu_anatomy,Failed (Verification),5,0,All candidates failed
